Outlet,Media Type,Type for Color,Address,Latitude,Longitude,City,Notes,State,Approximate Location,Audience: City/region,Audience,Contact,Contact type,URL
Exposure Plus TV,TV,TV,"606 East Juneau Avenue #511803 Milwaukee, WI 53203",,,"Milwaukee, WI",,Wisconsin,no,Milwaukee,Multicultural,TAM LAWRENCE TL@RLASSC.COM (704) 780-8648,CEO / FOUNDER,https://www.exposureplustv.tv
Exposure Plus TV Seattle,TV,TV,"4301 NE 4th St, Suite 2334, Renton, WA 98056",47.4880166,-122.1608697,"Renton, WA",,Washington,no,Seattle; Nationwide; Worldwide,Black; multicultural,"Roberta Holmes, MrsHolmes@aartkingsleyllc.com, 2069403741",Director of Diversity Inclusion,http://www.exposureplustv.tv
Faith and Soul Magazine,Magazine,Magazine,"920 West Pinhook Road, Suite 303, Lafayette, LA 70503-2446",30.2048266,-92.0134309,"Lafayette, LA",,Louisiana,no,"Louisiana, Texas, Atlanta","Christian, African-American Creole","Melinda Sylvester, m.sylvester@faithandsoul.com, 337-781-0158",Publisher,http://faithandsoul.net
Five Wards Media,Digital,Digital,"Newark, NJ",40.74602487,-74.18162834,"Newark, NJ",,New Jersey,yes,Newark,Newark residents,"Brit Harley, brit@fivewardsmedia.com",Founder,https://www.fivewardsmedia.com
Flint Beat,Digital,Digital,"615 Saginaw Street Suite 5005, Flint, MI 48502",43.0148951,-83.6892956,"Flint, MI",,Michigan,no,Flint,General,"Jiquanda Johnson, team@flintbeat.com",Founder,https://flintbeat.com/
Florida Courier,Newspaper (weekly),Newspaper,"P.O. Box 48857, Tampa, FL 33646-0124",27.95079296,-82.4566948,"Tampa, FL",,Florida,yes,Fort Pierce,African-American,"Julia T. Cherry, sales@daytonatimes.com",Senior managing member,https://flcourier.com/
Florida Sentinel-Bulletin,Newspaper (weekly),Newspaper,"2207 E 21st Ave, Tampa, FL 33605",27.9702715,-82.4343004,"Tampa, FL",,Florida,no,Tampa,African-American,"Gwen Hayes, editor@flsentinel.com",Editor,https://flsentinel.com/
Fort Wayne Ink Spot,Newspaper (biweekly),Newspaper,"2513 S Calhoun St, Fort Wayne, IN 46807",41.0618139,-85.1376051,"Fort Wayne, IN",,Indiana,no,Fort Wayne,African-American,"John Dortch, fwinkspot@gmail.com",Publisher,https://www.fwinkspot.com/
Forward Times,Newspaper (weekly),Newspaper,"4411 Almeda Rd, Houston, TX 77004",29.729528,-95.376217,"Houston, TX",,Texas,no,Houston,African-American,,,https://forwardtimes.com/
From the G-Man,Digital,Digital,"Harlem, NYC",40.8115504,-73.9464769,Harlem (NY),,New York,yes,NYC,African-American,"Gary Glennell Toms, FromTheGMan@protonmail.com, (973) 530-7658","Founder, Editor-in-Chief",https://fromthegman.net/
Front Runner,Digital,Digital,"Atlantic City, NJ",39.3642834,-74.4229266,"Atlantic City, NJ",,New Jersey,yes,South Jersey,African-American,"Clyde Hughes, clydehughesjr@gmail.com","President, CEO & Editor-in-Chief",https://frontrunnernewjersey.com
FunTimes Magazine,"Magazine, Digital",Magazine,"1226 N 52nd St, Philadelphia, PA 19131",39.9720989,-75.2262682,"Philadelphia, PA",,Pennsylvania,no,Delaware Valley,"African, Caribbean and African American","Eric Nzeribe, info@funtimesmagazine.com",CEO & Founder,https://www.funtimesmagazine.com/
Gainesville Guardian,Newspaper (weekly),Newspaper,"2700 SW 13th St., Gainesville, FL 32608-2015",29.6268823,-82.3403008,"Gainesville, FL",,Florida,no,Gainesville,African-American,"Cleveland Tinker, cleveland.tinker@gvillesun.com, (352) 337-0376",Editor,http://gainesvilleguardian.com/
Garland Journal,Newspaper,Newspaper,"320 S RL Thornton Freeway Service Rd, Dallas, TX 75203",,,"Dallas, TX",,Texas,NA,"Garland, TX region",General Audience,"Cheryl Smith, penonfire2@gmail.com",Publisher,https://garlandjournal.com
Gary Crusader,Newspaper (weekly),Newspaper,"1549 Broadway, Gary, IN 46407",41.5870529,-87.336788,"Gary, IN",,Indiana,no,Gary,African-American,"Dorothy Leavell, news@garycrusader.com",Publisher,https://chicagocrusader.com/category/gary-local-news/
Georgia Sentinel,Newspaper (weekly),Newspaper,"Atlanta, GA",33.6517391,-84.3919843,"Atlanta, GA",,Georgia,yes,Atlanta,African-American,"Andre White, andrewhite.us@gmail.com",Publisher,http://www.georgiasentinelnews.com/
Going Overtown,Newsletter,Digital,"201 NW 7th Street #108, Miami, FL 33136",25.7810939,-80.198645,"Miami, FL",,Florida,no,Miami,African-American,"Stephanie van Vark, stephanie@stephaniecreates.com, 3057102212
",President,http://GoingOvertown.org
Grand Rapids Times,Newspaper (weekly),Newspaper,"2016 Eastern Ave SE, Grand Rapids, MI 49507",42.9267124,-85.6475815,"Grand Rapids, MI",,Michigan,no,Grand Rapids,African-American,"Patricia Pulliam, staff@grtimes.com",Publisher,https://www.grtimes.com/
GrassRootsWire.com,Digital,Digital,"604 E 96th Street, Brooklyn, NY 11236",40.6536136,-73.9135126,"Brooklyn, NY",,New York,no,New York City,African-Americans,https://grassrootswire.com/contact,"Carolyn Jenkins, Founder",https://grassrootswire.com/
Greene County Democrat,Newspaper (weekly),Newspaper,"206 Prairie Ave, Eutaw, AL 35462",32.8342008,-87.8877664,"Eutaw, AL",,Alabama,no,Eutaw/Greene County,African-American,"John and Carol Zippert, (205) 372-3373",Publisher,https://greenecodemocrat.com/
Haiti en Marche,Newspaper (weekly),Newspaper,"173 N.W. 94th Street Miami, Florida 33150",25.8614326,-80.2010807,"Miami, FL",,Florida,no,Miami,Haitian,"Elsie Etheart, elsieetheart@gmail.com",Owner,https://www.haitienmarche.com/
Haiti Progres,Newspaper (weekly),Newspaper,"P.O. Box 30273, Brooklyn, NY 11203",40.6412551,-73.9295682,"Brooklyn, NY",,New York,yes,NYC,Haitian,"Maude LeBlanc, newyork@haitiprogres.com",Publisher,https://haitiprogres.com/news/
Harlem Community News,Newspaper (biweekly),Newspaper,"P. O. Box #1775, New York, NY 10027",40.8138912,-73.9624327,Harlem (NY),,New York,yes,Harlem,African-American,,,https://harlemcommunitynews.com/
Harlem World Magazine,"Digital, Magazine",Magazine,"367 Malcolm X Blvd, New York, NY 10027",40.81019674,-73.94413596,Harlem (NY),,New York,no,Harlem,Harlem residents,"646.216.8698, harlemworldinfo@yahoo.com",,https://www.harlemworldmagazine.com
Harvey World Herald,Digital,Digital,N/A,41.612233,-87.6531805,"Harvey, IL",,Illinois,yes,"Harvey, Illinois",Black / Brown,"Amethyst J. Davis, adavis@harveyworld.org",Founder,https://harveyworld.org/
HBCU Nation,"Satellite radio, TV, Podcast",Radio/Podcast,N/A,36.2649103,-76.199481,,"Additional link: <a href=""https://hbcusmarttv.com/"" target=""_blank"">hbcusmarttv.com</a>","Washington, D.C.",yes,"Charlotte, NC / Nationwide",HBCU Community / African Diaspora,"Sonya Worrell, sonya@hbcunation.org",COO,https://www.hbcunation.org/
Her Agenda,Digital,Digital,"New York, NY",40.7127753,-74.0059728,"New York, NY",,New York,yes,Nationwide,African-American,"Rhonesha Byng, rhonesha@heragenda.com, (917) 434-8699","Founder, CEO",https://heragenda.com/
Hoopfeed,Digital,Digital,"San Francisco Bay Area, CA",37.8271784,-122.2913078,San Francisco Bay Area (CA),,Nationwide,yes,Nationwide,Women's Basketball Fans,Cheryl Coward,Founder,https://www.hoopfeed.com/content/
Houston Defender,Newspaper (weekly),Newspaper,"12401 S Post Oak Rd, Houston, TX 77045",29.6457435,-95.4625459,"Houston, TX",,Texas,no,Houston,African-American,,,https://defendernetwork.com/
Hudson Valley Press,Newspaper (weekly),Newspaper,"343 Broadway, Newburgh, NY 12550",41.5004557,-74.0232975,"Newburgh, NY",,New York,no,Newburgh/Hudson Valley,African-American,,,https://hudsonvalleypress.com/
Hy-Lo News,Digital,Digital,"Miami, FL",25.7769176,-80.2991117,"Miami, FL",,Florida,yes,Miami,African-American,"Janey Tate, hylonews@gmail.com",Editor,https://hylonewsmiami.com/
I Messenger,Magazine (weekly),Magazine,"320 S RL Thornton Freeway Service Rd, Dallas, TX 75203",32.7541905,-96.8085835,"Dallas, TX","I Messenger News Group includes <a href=""https://texasmetronews.com/"" target=""_blank"">Texas Metro News</a>, <a href=""https://garlandjournal.com/"" target=""_blank"">Garland Journal</a> and I Messenger",Texas,no,State of Texas,"African-American, women",,,https://myimessenger.com/
I Mix What I Like,"Digital, Podcast",Digital,N/A,,,,,Nationwide,NA,Nationwide,African-American,"Jared A. Ball, Ph.D., freemixradio@gmail.com",Founder,https://imixwhatilike.org/
In My Humble Opinion,Radio,Radio/Podcast,"Charlottesville, VA",38.0293059,-78.4766781,"Charlottesville, VA",,Virginia,yes,Charlottesville,African-American,imhotalkshow@gmail.com,General inbox,https://www.imhotalkshow.org/
Indianapolis Recorder,Newspaper (weekly),Newspaper,"2901 N Tacoma Ave, Indianapolis, IN 46218",39.809125,-86.1200802,"Indianapolis, IN",,Indiana,no,Indianapolis,African-American,"Robert Shegog, roberts@indyrecorder.com",President and CEO,https://indianapolisrecorder.com/
Inglewood Business Magazine,Magazine (bimonthly),Magazine,"Inglewood, CA",33.9592538,-118.3511714,"Inglewood, CA",,California,yes,Inglewood,African-American,"Norman Boseman, inglewoodbusinessmag@gmail.com",Publisher,https://inglewoodbusinessmag.com/
Inglewood Times,"Digital, Magazine (quarterly)",Digital,"2926 W Manchester Blvd, Inglewood, CA 90305",33.9597185,-118.324952,"Inglewood, CA",,California,no,Inglewood,African-American,"Richard Diaz, info@inglewoodtimes.com",Publisher,http://inglewoodtimesmagazine.com/
Inglewood Today,Newspaper (weekly),Newspaper,"9111 S La Cienega Blvd, Inglewood, CA 90301",33.9538849,-118.3706127,"Inglewood, CA",,California,no,Inglewood,African-American,"Kenneth Miller, info@inglewoodtoday.com",Publisher,https://inglewoodtoday.com/
Inland Valley News,Newspaper (weekly),Newspaper,"2009 Porterfield Way, Upland, CA 91786",34.1096028,-117.6912416,"Upland, CA",,California,no,Pomona/Inland Valley,African-American,"Talese Morrow, Talese@InlandValleyNews.com",Publisher,http://inlandvalleynews.com/
Inner-City News,Newspaper (weekly),Newspaper,"50 Fitch St # 2, New Haven, CT 06515",41.3266928,-72.9565959,"New Haven, CT",,Connecticut,no,New Haven,African-American,"Babz Rawls Ivy, babz@pennfieldcomm.com",Editor,https://www.facebook.com/Inner-City-Newspaper-144130975669013/?ref=page_internal
Inquiring News,Newspaper (weekly),Newspaper,"P.O. Box 1984, Hartford, CT 06144",41.76,-72.69,"Hartford, CT",,Connecticut,yes,"Hartford, CT; Springfield, MA",African-American,inqnews@aol.com,General inbox,https://inqnews.com/
Insight News,Newspaper (weekly),Newspaper,"1803 N Bryant Ave, Minneapolis, MN 55411",44.9977155,-93.291382,"Minneapolis, MN",,Minnesota,no,St. Paul-Minneapolis,African-American,"Al McFarlane, info@insightnews.com",Founder and editor,https://www.insightnews.com/
Intentional Talk Radio Network,Radio,Radio,"195 E. Round Grove Rd. #1522, Lewisville, TX 75067",33.0040484,-96.9900492,"Lewisville, TX",,Texas,no,"Lewisville, Dallas",African-American,"Yolanda C.S. Williams, yourcharactered@aol.com, 626-394-7012",Executive Director,http://www.itrnradio.com
Jackson Advocate,Newspaper (monthly),Newspaper,"100 W.Hamilton St., Jackson, MS, 39202",32.3046534,-90.1891424,"Jackson, MS",,Mississippi,no,Jackson,African-American,"Deanna Tisdale-Johnson, thejacksonadvocate@gmail.com",Publisher,https://www.jacksonadvocateonline.com/
Jackson Free Press,Newspaper (biweekly),Newspaper,"125 S. Congress Street #1324A, Jackson, MS 39201",32.2988372,-90.1833772,"Jackson, MS",,Mississippi,no,Jackson,All-inclusive,"Donna Ladd, 601-362-6121",Editor and CEO,https://www.jacksonfreepress.com/
Jacksonville Free Press,Newspaper (weekly),Newspaper,"1122 Edgewood Ave W, Jacksonville, FL 32208",30.3920751,-81.675692,"Jacksonville, FL",,Florida,no,Jacksonville,African-American,jfreepress@aol.com,General inbox,http://jacksonvillefreepress.com/
Journal And Guide,Newspaper (weekly),Newspaper,"5127 E Virginia Beach Blvd, Norfolk, VA 23502",36.855846,-76.2260494,"Norfolk, VA",,Virginia,no,Norfolk,African-American,,,http://thenewjournalandguide.com/
Kansas City Defender,Digital,Digital,N/A,,,"Kansas City, MO",,Kansas,NA,"Kansas City, MO","Black, Brown & Poor people","Ryan Sorrell, ryan@kansascitydefender.com",Publisher,https://www.kansascitydefender.com
Kansas City Globe,Newspaper (weekly),Newspaper,"615 E 29th St, Kansas City, MO 64109",39.0741013,-94.5767501,"Kansas City, MO",,Missouri,no,Kansas City,African-American,,,https://www.thekansascityglobe.com/
KAZI,Radio,Radio/Podcast,"8906 Wall St #203, Austin, TX 78754",30.342007,-97.6715552,"Austin, TX",,Texas,no,Austin,African-American,,,https://www.kazifm.org/
KBBG,Radio,Radio/Podcast,"918 Newell St, Waterloo, IA 50703",42.5126696,-92.3230481,"Waterloo, IA",,Iowa,no,Waterloo,African-American,,,https://www.facebook.com/KBBGFM88.1/
KCEP,Radio,Radio/Podcast,"350 W Washington suite #125, Las Vegas, NV 89106",36.1813213,-115.1465071,"Las Vegas, NV",,Nevada,no,Las Vegas,African-American,"Craig Knight, 702-648-0104",Station Manager,https://www.power88lv.com/
KCLT/WNEV/KAKJ,Radio,Radio/Podcast,"700 Martin Luther King Drive, West Helena, AR 72390",34.550763,-90.6553037,"West Helena, AR",,Arkansas,no,Eastern Arkansas/Northwest Mississippi,African-American,"Raymond Simes, force2@sbcglobal.net",CEO,https://force3radio.com/
Key News Journal,Newspaper (monthly),Newspaper,"P.O. Box 23321, Lexington, KY 40523",37.99,-84.52,"Lexington, KY",,Kentucky,yes,Lexington/Central KY,African-American,editorial@keynewsjournal.com,General inbox,https://www.facebook.com/TheKeyNewsjournal/
KFOO,Radio,Radio/Podcast,"2030 Iowa Ave Ste 100, Riverside, CA 92507",33.992612,-117.3393542,"Riverside, CA",,California,no,San Bernardino/Riverside,African-American,,,https://riverside.binnews.com/
KISA Radio,Radio,Radio/Podcast,"Atlanta, GA",34.0725315,-84.3007445,"Atlanta, GA",,Georgia,yes,Nationwide,African Americans,"Lisa Tinsley, lisa@kisaradio.org",Founder,https://kisaradio.org
KJBU,Radio,Radio/Podcast,"4000 S. Rose Avenue, Oxnard, CA 90333",34.1661554,-119.156804,"Oxnard, CA",,California,no,Ventura County,Black diaspora,info@rhythmofthecoast.com,General inbox,http://rhythmofthecoast.com/
KJLH,Radio,Radio/Podcast,"161 N. La Brea Avenue, Inglewood, CA 90301",33.9640941,-118.3539108,"Inglewood, CA",,California,no,Southern California,African-American,"Karen Slade, keslade@kjlhradio.com",General manager,https://kjlhradio.com/
KKSF,Radio,Radio/Podcast,"340 Townsend St., San Francisco, CA 94107",37.7764835,-122.3961974,"San Francisco, CA",,California,no,Oakland/Bay Area,African-American,,,https://bayarea.binnews.com/
KOWN,Radio,Radio/Podcast,"7400 Dodge St Ste 64, Omaha, NE 68114",41.2618234,-96.026467,"Omaha, NE",,Nebraska,no,Omaha,African-American,,,http://www.957fmtheboss.com/
KPOO,Radio,Radio/Podcast,"1329 Divisadero St, San Francisco, CA 94115",37.7819123,-122.4394914,"San Francisco, CA",,California,no,San Francisco,African-American,,,https://kpoo.com/
KSQA,TV,TV,"800 SW Jackson St Ste 1407, Topeka, KS 66612",39.04885023,-95.6756384,"Topeka, KS",,Kansas,no,Topeka,General market,,,
LA Focus,Newspaper (monthly),Newspaper,"333 W Florence Ave, Inglewood, CA 90301",33.9657675,-118.3613068,"Inglewood, CA",,California,no,Los Angeles,African-American,"Lisa Collins, lafocus@aol.com",Publisher and editor,https://lafocusnewspaper.com/
LA Watts Times,Newspaper (weekly),Newspaper,"3800 Crenshaw Blvd, Los Angeles, CA 90008",34.0171055,-118.3346431,"Los Angeles, CA",,California,no,Los Angeles,African-American,"Danny Bakewell, dannysr@lasentinel.net",,https://lawattstimes.com/
Las Vegas Black Image,Magazine (monthly),Magazine,"2412 Santa Clara Drive, Las Vegas, NV 89104",36.1441634,-115.1539217,"Las Vegas, NV",,Nevada,no,Las Vegas,African-American,"Charles and Kimberly Tueraud, cdalasvegas@gmail.com",Co-owners,http://lasvegasblackimage.com/
Las Vegas Soul,Digital,Digital,"Las Vegas, NV",36.19532442,-115.2567198,"Las Vegas, NV",,Nevada,yes,Las Vegas,Urban Entertainment Enthusiasts,,,https://lasvegassoul.com/
Legacy,Newspaper (weekly),Newspaper,"P.O. Box 12474, Richmond, VA 23241",37.5407246,-77.4360481,"Richmond, VA",,Virginia,yes,Richmond,African-American,,,https://virginialegacy.com/
LittleAfrica News,"Newspaper, Digital",Newspaper,"New York, NY",40.74468195,-73.98773033,"New York, NY",,New York,yes,New York City,African Diaspora,"Mona Davids, 347-294-7922, admin@littleafricanews.com",Founder & Publishers,https://www.littleafricanews.com
Los Angeles Sentinel,Newspaper (weekly),Newspaper,"3800 Crenshaw Blvd, Los Angeles, CA 90008",34.01733225,-118.3345573,"Los Angeles, CA",,California,no,Los Angeles,African-American,"Pamela Bakewell, pamela@lasentinel.net",Executive vice president,https://lasentinel.net/
Los Angeles Standard Newspaper,Newspaper (monthly),Newspaper,"2415 W. Martin Luther King Jr. Blvd., Los Angeles, CA 90008",34.0109738,-118.3198683,"Los Angeles, CA",,California,no,"Crenshaw, Baldwin Hills, View Park, Windsor Hills, Ladera Heights, Park Mesa Heights, Leimert Park, West Adams, Jefferson Park, and Mid City",Black Communities,"Jason Lewis, info@lastandardnewspaper.com",Publisher,https://lastandardnewspaper.com/
Los Angeles Wave Newspapers,Newspaper (weekly),Newspaper,"3731 Wilshire Blvd #840, Los Angeles, CA 90010",34.0621726,-118.3076044,"Los Angeles, CA",,California,no,Los Angeles,Multicultural,"Don Wanlass, newsroom@wavepublication.com",Managing editor,http://wavepublication.com/
Louisiana Weekly,Newspaper (weekly),Newspaper,"2215 Pelopidas St, New Orleans, LA 70122",30.0012735,-90.0587303,"New Orleans, LA",,Louisiana,no,New Orleans,African-American,"Renette Dejoie-Hall, rdh@louisianaweekly.com",Executive editor,http://www.louisianaweekly.com/
Louisville Defender,Newspaper (weekly),Newspaper,"1720 Dixie Hwy, Louisville, KY 40210",38.2257873,-85.7919001,"Louisville, KY",,Kentucky,no,Louisville,African-American,loudefender@aol.com,General inbox,https://www.facebook.com/louisvilledefender/
Love Now Media,Video (online),Digital,"836 South Street, Philadelphia, PA 19147",39.9424537,-75.1567156,"Philadelphia, PA",,Pennsylvania,no,Philadelphia,General,"Jos Duncan, jos@lovenowmedia.com",Founder and Chief Storyteller,https://lovenowmedia.com/
Marcom Weekly,"Podcast, Digital",Radio/Podcast,"447 Broadway, 2nd Floor #606, New York, NY 10013",40.72069476,-74.00149866,"New York, NY",,New York,no,National,Marketing and Media professionals,"Kyle Rosenbaum, krosenbaum@marcom.co",Publisher,https://marcomweekly.com
mater mea,Digital,Digital,"New York, NY",40.7443091,-73.9418603,"New York, NY",,Nationwide,yes,Nationwide,Black Mothers,Tomi Akitunde General inquiries: info@matermea.com,Founder,https://matermea.com
MIA Media Group,"Magazine (bimonthly), Digital",Magazine,"2719 Hollywood Blvd. Suite B114 Hollywood, FL 33020",26.01143188,-80.16190067,"Hollywood, FL",,Florida,no,Miami & South Florida,African American,"Dexter Bridgeman, dab@miamediagrp.com, 305-412-9600 Ext. 700",CEO & Founder,https://miamediagrp.com/
Michigan Bulletin,Newspaper (weekly),Newspaper,"P.O. Box 13062 Lansing, MI 48901",42.732535,-84.5555347,"Lansing, MI",,Michigan,yes,Lansing,African-American,"Marcus Jefferson, (517) 321-1234",Publisher,https://mibulletin.com/
Michigan Chronicle,Newspaper (weekly),Newspaper,"1452 Randolph Street #400, Detroit, MI 48226",42.3360246,-83.045598,"Detroit, MI",,Michigan,no,Detroit,African-American,"AJ Williams, aj.williams@michchronicle.com",Managing editor,https://michiganchronicle.com/
Middle Georgia Informer,Newspaper (weekly),Newspaper,"905 Main St, Macon, GA 31217",32.8456384,-83.6084841,"Macon, GA",,Georgia,no,Macon,African-American,"Cornelia Walker, gainformer@yahoo.com",Publisher,http://www.gainformer.com/index.html
Milwaukee Courier,Newspaper (weekly),Newspaper,"2003 W Capitol Dr, Milwaukee, WI 53206",43.0893578,-87.9372717,"Milwaukee, WI",,Wisconsin,no,Milwaukee,African-American,(414) 449-4860,,https://milwaukeecourieronline.com/
Minnesota Spokesman-Recorder,Newspaper (weekly),Newspaper,"3744 4th Ave S, Minneapolis, MN 55409",44.9346125,-93.2705043,"Minneapolis, MN",,Minnesota,no,Minneapolis,African-American,"Tracey Williams-Dillard, twilliams@spokesman-recorder.com",CEO and Publisher,https://spokesman-recorder.com/
Minority Reporter,Newspaper (weekly),Newspaper,"2269 Lyell Avenue, Rochester, NY 14606",43.1635091,-77.6872316,"Rochester, NY",,New York,no,Rochester,African-American,,,http://minorityreporter.net/
Mississippi Free Press,Digital,Digital,"125 S. Congress Street #1324A Jackson, MS 39201",32.29864674,-90.18323773,"Jackson, MS",,Mississippi,no,Mississippi,All-inclusive,"Kimberly Griffin, kimberly@mississippifreepress.org",Founding publisher,https://www.mississippifreepress.org/
Mississippi Link,Newspaper (weekly),Newspaper,"2659 Livingston Rd, Jackson, MS 39213",32.3326962,-90.1976179,"Jackson, MS",,Mississippi,no,Jackson,African-American,"Jackie Hampton, admin@themississippilink.com",Publisher,https://themississippilink.com/
MLK50,Digital,Digital,"1910 Madison Avenue #2220, Memphis, TN 38104",35.1378362,-89.9974864,"Memphis, TN",,Tennessee,no,Memphis,General,info@mlk50.com,,https://mlk50.com
Monroe Free Press,Newspaper (weekly),Newspaper,"216 Collier Ave, Monroe, LA 71201",32.5188362,-92.0821867,"Monroe, LA",,Louisiana,no,Monroe,African-American,"Roosevelt Wright, freepress1969@yahoo.com",Owner,https://www.monroefreepress.net/
Murfreesboro Vision,Newspaper (weekly),Newspaper,"P.O. Box 60487, Nashville, TN 37206",36.1775724,-86.7488033,"Nashville, TN",,Tennessee,yes,Murfressboro,African-American,,,https://www.pridepublishinggroup.com/pride/
Muslim Journal,Newspaper (weekly),Newspaper,"227 E. 51st Street, Chicago, IL 60615",41.8019524,-87.6201073,"Chicago, IL",,Illinois,no,Chicago,Black Muslim,feedback@muslimjournal.net,General inbox,https://muslimjournal.net/
N'Digo,Newspaper (weekly),Newspaper,"329 West 18th Street Suite 613. Chicago, IL 60616",41.8573357,-87.6360067,"Chicago, IL",,Illinois,no,Cook County,African-American,"Helene Hartman, hhartman@ndigo.com",Founder,https://ndigo.com/
Nashville Pride,Newspaper (weekly),Newspaper,"4065 Gallatin Pike., Nashville, TN 37216",36.2207214,-86.7270392,"Nashville, TN",,Tennessee,no,Nashville,African-American,,,https://www.pridepublishinggroup.com/pride/
NAZAR,Digital,Digital,"Philadelphia, PA",40.01233933,-75.08611284,"Philadelphia, PA",,Pennsylvania,yes,Nationwide,African-American,"Vanessa Taylor, inquiries.taylor@gmail.com",Founder,https://nazar.substack.com/
New Orleans Tribune,Newspaper (monthly),Newspaper,"2317 Esplanade Avenue, New Orleans, LA 70119",29.9740906,-90.0750496,"New Orleans, LA",,Louisiana,no,New Orleans,African-American,"Dwight McKenna, dwightmckenna@mckennapublishing.com",Publisher,https://theneworleanstribune.com/
New Pittsburgh Courier,Newspaper (weekly),Newspaper,"315 E Carson St, Pittsburgh, PA 15219",40.4295644,-79.9971877,"Pittsburgh, PA",,Pennsylvania,no,Pittsburgh,African-American,,,https://newpittsburghcourier.com/
New York Amsterdam News,Newspaper (weekly),Newspaper,"2340 Frederick Douglass Blvd, New York, NY 10027",40.8105257,-73.9505625,Harlem (NY),,New York,no,NYC,African-American,,,http://amsterdamnews.com/
New York Beacon,Newspaper (weekly),Newspaper,"600 3rd Ave, New York, NY 10016",40.7493238,-73.9759092,"New York, NY",,New York,no,NYC,African-American,,,https://newyorkbeacon.com/
New York Parrot,"Newspaper, TV program, Digital",Newspaper,"New York, NY",40.82875427,-73.85579332,"New York, NY",,New York,yes,New York City,People of Color,"Mutiu Olawuyi, https://www.newyorkparrot.com/bs-contact-us/",Chief Editor,https://www.newyorkparrot.com/
NewsOne.com,Digital,Digital,"4 NY Plaza Suite 501. New York, NY 10004",40.7027069,-74.0107185,"New York, NY",,New York,no,National,Black Americans,"Anoa Changa, achanga@ionedigital.com",Editor,https://newsone.com/
NJ Urban News,Digital,Digital,"625 Broad Street, Suite 240, Newark, NJ 07102",40.74052095,-74.16996677,"Newark, NJ",,New Jersey,no,New Jersey,Black,"Dorothy Howell, 973-548-9692, info@njurbannews.com",CEO,https://njurbannews.com/
NOISE,Digital,Digital,"2422 Lake St, Omaha, NE 68111",41.2816288,-95.9479949,"Omaha, NE",,Nebraska,no,North Omaha,General,"make@noiseomaha.com, (402) 807-5076",General inbox,https://www.noiseomaha.com/
Nomadic Hustle,Podcast,Radio/Podcast,"P.O Box 18463, Seattle, WA 98118",47.54482806,-122.2656662,"Seattle, WA",,Washington,yes,Statewide,Somali,,,https://www.youtube.com/c/NomadicHustle/featured
North Dallas Gazette,Newspaper (weekly),Newspaper,"P. O. Box 763866, Dallas, TX 75376-3866",32.71,-96.84,"Dallas, TX",,Texas,yes,Dallas,African-American,,,https://northdallasgazette.com/
North Lawndale News,Newspaper (weekly),Newspaper,"5650 West Madison Street, Chicago, IL 60644",41.8805443,-87.7669132,"Chicago, IL",,Illinois,no,Chicago,African-American,"Isaac Lewis Jr., isaacl@nlcn.org",Executive director,http://nlcn.org/
Northend Agents,"Newspaper (weekly), Digital",Newspaper,"150 Trumbull St Fl 4, Hartford, CT 06103 ...",41.766701,-72.6753458,"Hartford, CT",,Connecticut,no,Hartford,African-American,submissions@northendagents.com,General inbox,https://www.northendagents.com/
Notedd,Newsletter,Digital,"Washington, D.C.",38.8851195,-76.9541598,"Washington, D.C.",,"Washington, D.C.",yes,National,Black Women,"Lauren Strayhorn, https://www.notedd.com/contact",Founder,https://www.notedd.com/
NYIHA Media,Digital,Digital,"700 Columbus Ave # 20744, New York, NY 10025",40.7921145,-73.9683676,"New York, NY",,New York,no,New York,Diaspora,"Steeve Coupeau, (646) 301-0146",Founder,https://nyiha.com/
OkayAfrica,Digital,Digital,"Brooklyn, NY",40.71547172,-73.95311816,"Brooklyn, NY",,New York,yes,International,African Diaspora,"Rachel Hislop, https://www.okayplayer.com/about/contact",VP of Content/Editor in Chief,https://www.okayafrica.com/
Okayplayer,Digital,Digital,"Brooklyn, NY",40.71747729,-73.9447457,"Brooklyn, NY",,New York,yes,International,Music Enthusiasts,"Rachel Hislop, https://www.okayplayer.com/about/contact",VP of Content/Editor in Chief,https://www.okayplayer.com/
The ONME Network,Online aggregator,Digital,,,,,,California,yes,Central Valley,African-American,Julia Dudley Najieb,CEO,https://www.onmenews.com/
Orlando Advocate,Newspaper (weekly),Newspaper,"30 Coburn Ave., Orlando, FL 32805",28.5431866,-81.4088811,"Orlando, FL",,Florida,no,Orlando,African-American,webmaster@orlandoadvocate.com,General inbox,https://orlandoadvocate.com/
Our Body Politic,Podcast,Radio/Podcast,N/A,,,,,Nationwide,NA,Nationwide,Women of Color,,,https://our-body-politic.simplecast.com
Our Time Press,Newspaper (weekly),Newspaper,"358 Classon Ave, Brooklyn, NY 11238",40.6882594,-73.9600187,"Brooklyn, NY",,New York,no,NYC,African-American,,,https://www.ourtimepress.com/
Our Times Newspaper,Newspaper (biweekly),Newspaper,"605 S Evans Ave, Evansville, IN 47713",37.9697077,-87.5526609,"Evansville, IN",,Indiana,no,Evansville,African-American,"Gene Kendrick, kendrick47713@gmail.com",Sales manager,https://www.ourtimesnewspaper.com/Media/Index.html
